u,e,t,l,f,o
STILL,20.0,light-theme,xLargeCards,small-font,N
STILL,0.0,light-theme,largeCards,large-font,N
STILL,0.0,light-theme,largeCards,large-font,N
STILL,66.0,dark-theme,largeCards,large-font,Y
STILL,52.0,dark-theme,largeCards,large-font,Y
STILL,80.0,dark-theme,xLargeCards,small-font,N
STILL,125.0,dark-theme,xLargeCards,large-font,N
STILL,67.0,dark-theme,xLargeCards,large-font,N
STILL,14.0,light-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,0.0,dark-theme,largeCards,small-font,N
STILL,0.0,dark-theme,largeCards,small-font,N
STILL,0.0,light-theme,largeCards,small-font,N
STILL,0.0,light-theme,largeCards,small-font,N
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,39.0,dark-theme,largeCards,small-font,Y
STILL,46.0,dark-theme,largeCards,small-font,Y
STILL,8.0,light-theme,largeCards,large-font,N
STILL,9.0,light-theme,largeCards,large-font,N
STILL,10.0,dark-theme,largeCards,large-font,N
STILL,16.0,light-theme,largeCards,large-font,Y
STILL,16.0,light-theme,largeCards,large-font,Y
ON_FOOT,318.0,light-theme,xLargeCards,small-font,N
ON_FOOT,782.0,dark-theme,xLargeCards,small-font,N
ON_FOOT,192.0,dark-theme,largeCards,small-font,N
IN_VEHICLE,875.0,dark-theme,largeCards,large-font,Y
IN_VEHICLE,921.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,935.0,dark-theme,xLargeCards,small-font,N
ON_FOOT,198.0,light-theme,xLargeCards,large-font,N
ON_FOOT,285.0,light-theme,xLargeCards,large-font,N
ON_FOOT,53.0,dark-theme,xLargeCards,large-font,N
ON_FOOT,59.0,dark-theme,xLargeCards,small-font,N
ON_FOOT,1054.0,dark-theme,xLargeCards,large-font,N
ON_FOOT,1346.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,417.0,dark-theme,largeCards,small-font,N
IN_VEHICLE,72.0,light-theme,xLargeCards,large-font,N
STILL,8.0,light-theme,largeCards,large-font,Y
STILL,7.0,light-theme,largeCards,large-font,Y
STILL,34.0,light-theme,largeCards,small-font,N
STILL,37.0,light-theme,largeCards,small-font,Y
STILL,37.0,light-theme,largeCards,small-font,Y
STILL,39.0,light-theme,largeCards,small-font,N
STILL,10.0,light-theme,largeCards,small-font,Y
STILL,10.0,light-theme,largeCards,small-font,N
ON_FOOT,3563.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,5849.0,light-theme,xLargeCards,large-font,Y
STILL,4435.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,3037.0,light-theme,xLargeCards,large-font,Y
STILL,10.0,light-theme,largeCards,large-font,Y
STILL,6.0,light-theme,largeCards,large-font,Y
STILL,12.0,dark-theme,largeCards,large-font,Y
STILL,6.0,dark-theme,largeCards,large-font,Y
STILL,24.0,light-theme,largeCards,large-font,Y
STILL,4.0,light-theme,largeCards,large-font,Y
STILL,15.0,light-theme,largeCards,large-font,Y
STILL,111.0,light-theme,largeCards,large-font,Y
STILL,103.0,light-theme,largeCards,large-font,Y
STILL,296.0,dark-theme,xLargeCards,small-font,N
STILL,132.0,dark-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,N
STILL,132.0,light-theme,xLargeCards,small-font,N
STILL,139.0,light-theme,xLargeCards,large-font,N
STILL,139.0,light-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,large-font,Y
STILL,19.0,light-theme,largeCards,large-font,Y
STILL,22.0,light-theme,largeCards,large-font,Y
STILL,303.0,light-theme,largeCards,small-font,Y
STILL,276.0,light-theme,largeCards,small-font,N
STILL,351.0,light-theme,largeCards,large-font,N
STILL,336.0,light-theme,largeCards,large-font,N
STILL,7904.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,6487.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,9753.0,light-theme,xLargeCards,small-font,Y
ON_FOOT,8249.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,5588.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,9637.0,light-theme,xLargeCards,large-font,Y
ON_FOOT,6813.0,light-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,Y
STILL,0.0,dark-theme,largeCards,small-font,N
ON_FOOT,18.0,light-theme,largeCards,large-font,Y
STILL,18.0,light-theme,largeCards,large-font,N
ON_FOOT,47.0,light-theme,largeCards,large-font,Y
STILL,74.0,light-theme,largeCards,large-font,Y
STILL,91.0,light-theme,largeCards,large-font,Y
ON_FOOT,78.0,light-theme,largeCards,large-font,Y
ON_FOOT,74.0,light-theme,largeCards,large-font,Y
STILL,17.0,dark-theme,xLargeCards,small-font,N
STILL,13.0,dark-theme,largeCards,small-font,N
